match_id,date,round,home_team,away_team,home_score,away_score,pen_home,pen_away,source_note
89,2026-07-04,OCTAVOS,Canada,Morocco,0,3,,,Resultado actualizado al 2026-07-06
90,2026-07-04,OCTAVOS,Paraguay,France,0,1,,,Resultado actualizado al 2026-07-06
91,2026-07-05,OCTAVOS,Brazil,Norway,1,2,,,Resultado actualizado al 2026-07-06
92,2026-07-05,OCTAVOS,Mexico,England,2,3,,,Resultado actualizado al 2026-07-06
93,2026-07-06,OCTAVOS,Portugal,Spain,,,,,Pendiente / por predecir
94,2026-07-06,OCTAVOS,United States,Belgium,,,,,Pendiente / por predecir
95,2026-07-07,OCTAVOS,Argentina,Egypt,,,,,Pendiente / por predecir
96,2026-07-07,OCTAVOS,Switzerland,Colombia,,,,,Pendiente / por predecir
