match_no,date_et,time_et,stage,group,home_team,away_team,home_label,away_label,known_teams,venue_city,neutral,competition,source_url
24,2026-06-17,22:00,Group Stage,K,Uzbekistan,Colombia,Uzbekistan,Colombia,True,Mexico City,True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
25,2026-06-18,12:00,Group Stage,A,Czech Republic,South Africa,Czech Republic,South Africa,True,Atlanta,True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
26,2026-06-18,15:00,Group Stage,B,Switzerland,Bosnia and Herzegovina,Switzerland,Bosnia and Herzegovina,True,"Inglewood, California",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
27,2026-06-18,18:00,Group Stage,B,Canada,Qatar,Canada,Qatar,True,"Vancouver, Canada",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
28,2026-06-18,23:00,Group Stage,A,Mexico,South Korea,Mexico,South Korea,True,"Zapopan, Mexico",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
29,2026-06-19,15:00,Group Stage,D,United States,Australia,United States,Australia,True,Seattle,True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
30,2026-06-19,18:00,Group Stage,C,Scotland,Morocco,Scotland,Morocco,True,"Foxborough, Massachusetts",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
31,2026-06-19,21:00,Group Stage,C,Brazil,Haiti,Brazil,Haiti,True,Philadelphia,True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
32,2026-06-20,00:00,Group Stage,D,Turkey,Paraguay,Turkey,Paraguay,True,"Santa Clara, California",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
33,2026-06-20,13:00,Group Stage,F,Netherlands,Sweden,Netherlands,Sweden,True,Houston,True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
