date,home_team,away_team,neutral,match_id,stage,group,venue_city,competition,home_gf12,home_ga12,home_pts12,home_prev_matches,away_gf12,away_ga12,away_pts12,away_prev_matches,fifa_home,fifa_away,diff_fifa,elo_home,elo_away,diff_elo,h2h,home_advantage,matchday_group,home_points_group,home_goal_diff_group,home_goals_for_group,home_goals_against_group,home_matches_played_group,home_position_group,home_possible_best_position,home_possible_worst_position,home_qualify_rate,home_first_place_rate,home_qualify_rate_if_win,home_qualify_rate_if_draw,home_qualify_rate_if_loss,home_first_rate_if_win,home_first_rate_if_draw,home_first_rate_if_loss,home_already_qualified,home_eliminated,home_must_win,home_need_goal_difference,home_rotation_risk,home_playing_for_first,home_risk_drop_to_third,home_needs_result,home_context_note,away_points_group,away_goal_diff_group,away_goals_for_group,away_goals_against_group,away_matches_played_group,away_position_group,away_possible_best_position,away_possible_worst_position,away_qualify_rate,away_first_place_rate,away_qualify_rate_if_win,away_qualify_rate_if_draw,away_qualify_rate_if_loss,away_first_rate_if_win,away_first_rate_if_draw,away_first_rate_if_loss,away_already_qualified,away_eliminated,away_must_win,away_need_goal_difference,away_rotation_risk,away_playing_for_first,away_risk_drop_to_third,away_needs_result,away_context_note
2026-06-24,Switzerland,Canada,1,49,Group Stage,B,"Vancouver, Canada",FIFA World Cup 2026,2.181250274495382,0.9021658803164484,1.8631154262198228,12,2.5784789390487024,0.6296681331579991,2.0076614321818163,12,1640.92,1551.5,89.42000000000007,1865,1767,98,0.0,0,3,4,3,5,2,2,2,1,2,1.0,0.3333,1.0,1.0,1.0,1.0,0.0,0.0,1,0,0,0,0,1,0,1,Necesita resultado y pelea el primer lugar,4,6,7,1,2,1,1,2,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,0.0,1,0,0,0,0,1,0,1,Necesita resultado y pelea el primer lugar
2026-06-24,Bosnia and Herzegovina,Qatar,1,50,Group Stage,B,Seattle,FIFA World Cup 2026,1.348821524457803,1.6272658779163818,1.0947590279673858,12,0.6685846618225973,2.281020876894874,0.8220325604708151,12,1395.19,1459.45,-64.25999999999999,1616,1447,169,0.0,0,3,1,-3,2,5,2,3,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,Sin opcion clara de top 2,1,-6,1,7,2,4,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,Sin opcion clara de top 2
2026-06-13,Brazil,Morocco,1,6,Group Stage,C,"East Rutherford, New Jersey",FIFA World Cup 2026,1.3971046792890305,1.3067713925242808,1.292603982881252,12,1.7618760259036927,0.1867186324694819,2.4586255457986432,12,1765.34,1755.62,9.720000000000027,1978,1840,138,1.0,0,1,0,0,0,0,0,1,1,4,0.6667,0.4444,1.0,1.0,0.0,1.0,0.3333,0.0,0,0,0,0,0,0,1,1,Necesita resultado para no complicarse,0,0,0,0,0,3,1,4,0.3333,0.2222,1.0,0.0,0.0,0.6667,0.0,0.0,0,0,0,0,0,0,1,1,Necesita resultado para no complicarse
2026-06-13,Haiti,Scotland,1,7,Group Stage,C,"Foxborough, Massachusetts",FIFA World Cup 2026,1.4067882439426955,1.1807583120134415,1.5945714071488202,12,1.9712772242750725,1.345700986320363,2.012299039142578,12,1277.67,1518.77,-241.0999999999999,1536,1794,-258,0.0,0,1,0,0,0,0,0,2,1,4,0.6667,0.2222,1.0,1.0,0.0,0.6667,0.0,0.0,0,0,0,0,0,0,1,1,Necesita resultado para no complicarse,0,0,0,0,0,4,1,4,0.3333,0.1111,1.0,0.0,0.0,0.3333,0.0,0.0,0,0,0,0,0,0,1,1,Necesita resultado para no complicarse
2026-06-19,Scotland,Morocco,1,30,Group Stage,C,"Foxborough, Massachusetts",FIFA World Cup 2026,1.8495072928443288,1.118659295788959,2.2236228840378427,12,1.6425263273238675,0.3592047972152537,2.188380015287666,12,1518.77,1755.62,-236.8499999999999,1794,1840,-46,-1.0,0,2,3,1,1,0,1,1,1,3,0.7778,0.5556,1.0,1.0,0.3333,1.0,0.6667,0.0,0,0,0,0,0,1,1,1,Necesita resultado y pelea el primer lugar,1,0,1,1,1,3,1,4,0.3333,0.2222,1.0,0.0,0.0,0.6667,0.0,0.0,0,0,0,0,0,1,1,1,Necesita resultado y pelea el primer lugar
2026-06-19,Brazil,Haiti,1,31,Group Stage,C,Philadelphia,FIFA World Cup 2026,1.3529144390830212,1.254634486206809,1.2661740135202224,12,1.099916942794242,1.167479787996676,1.2542965129187231,12,1765.34,1277.67,487.6699999999999,1978,1536,442,1.0,0,2,1,0,1,1,1,2,1,4,0.5556,0.2222,1.0,0.6667,0.0,0.6667,0.0,0.0,0,0,0,0,0,1,1,1,Necesita resultado y pelea el primer lugar,0,-1,0,1,1,4,2,4,0.3333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,1,Necesita ganar para mejorar clasificacion
2026-06-24,Scotland,Brazil,1,51,Group Stage,C,"Miami Gardens, Florida",FIFA World Cup 2026,1.523113961051404,1.1269734254983652,1.8019525660988984,12,1.5770025434680572,1.0783187882699006,1.477229722305344,12,1518.77,1765.34,-246.56999999999996,1794,1978,-184,-0.8742861417558805,0,3,3,0,1,1,2,3,1,3,0.3333,0.2222,1.0,0.0,0.0,0.6667,0.0,0.0,0,0,1,1,0,1,1,1,Necesita ganar y cuidar diferencia de goles,4,3,4,1,2,1,1,3,0.7778,0.5556,1.0,1.0,0.3333,1.0,0.6667,0.0,0,0,0,0,0,1,1,1,Necesita resultado y pelea el primer lugar
2026-06-24,Morocco,Haiti,1,52,Group Stage,C,Atlanta,FIFA World Cup 2026,1.5438560006690183,0.3040430813913465,2.313017412395914,12,0.8039509882057869,1.5796329088258405,0.9578174919873464,12,1755.62,1277.67,477.9499999999998,1840,1536,304,0.0,0,3,4,1,2,1,2,2,1,3,0.8889,0.2222,1.0,1.0,0.6667,0.6667,0.0,0.0,0,0,0,0,0,1,1,1,Necesita resultado y pelea el primer lugar,0,-4,0,4,2,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,Sin opcion clara de top 2
2026-06-12,United States,Paraguay,1,4,Group Stage,D,"Inglewood, California",FIFA World Cup 2026,1.6520078728632157,1.2868090189408006,1.5207916325545148,12,1.2226439334132873,0.8317945994087171,1.7108359371772277,12,1688.53,1488.05,200.48,1780,1780,0,0.3391642371234208,0,1,0,0,0,0,0,4,1,4,0.3333,0.1111,1.0,0.0,0.0,0.3333,0.0,0.0,0,0,0,0,0,0,1,1,Necesita resultado para no complicarse,0,0,0,0,0,2,1,4,0.6667,0.2222,1.0,1.0,0.0,0.6667,0.0,0.0,0,0,0,0,0,0,1,1,Necesita resultado para no complicarse
2026-06-14,Australia,Turkey,1,8,Group Stage,D,"Vancouver, Canada",FIFA World Cup 2026,2.2243116821424183,0.4597494745681348,2.7881969541293685,12,1.687158793500274,1.3933147479519334,1.8770305846651896,12,1605.61,1579.47,26.139999999999876,1839,1849,-10,1.0,0,1,0,0,0,0,0,1,1,4,0.6667,0.4444,1.0,1.0,0.0,1.0,0.3333,0.0,0,0,0,0,0,0,1,1,Necesita resultado para no complicarse,0,0,0,0,0,3,1,4,0.3333,0.2222,1.0,0.0,0.0,0.6667,0.0,0.0,0,0,0,0,0,0,1,1,Necesita resultado para no complicarse
