modelo,mae_home,mae_away,mae_promedio,rmse_home,rmse_away,rmse_promedio,r2_home,r2_away,r2_promedio,accuracy_resultado,confusion_HH,confusion_HD,confusion_HA,confusion_DH,confusion_DD,confusion_DA,confusion_AH,confusion_AD,confusion_AA
Regresion Lineal,1.0520245715309593,0.8872614336584779,0.9696430025947186,1.393003607763324,1.2228005799579638,1.307902093860644,0.285839050126332,0.2767441403208147,0.2812915952235734,0.6295358649789029,480,0,80,152,3,102,105,0,263
Ridge,1.0520273538416378,0.8872607825856373,0.9696440682136376,1.3930252576852369,1.2228361487555552,1.307930703220396,0.2858168511185727,0.2767020636063437,0.2812594573624582,0.6295358649789029,480,0,80,151,3,103,105,0,263
Poisson,1.0598521182838778,0.8827510646822775,0.9713015914830776,1.3935801219666393,1.2078251191020906,1.300702620534365,0.2852477966254221,0.2943508811107825,0.2897993388681023,0.6286919831223629,484,0,76,159,1,97,108,0,260
Random Forest,1.0696490452219287,0.8875761153614197,0.9786125802916742,1.4026415118842206,1.2153170666666286,1.3089792892754246,0.2759225993695412,0.2855696720572106,0.2807461357133759,0.6303797468354431,483,0,77,163,0,94,104,0,264
Gradient Boosting,1.0911047024359617,0.8883874154587048,0.9897460589473333,1.4620975450514269,1.220815921129464,1.3414567330904454,0.2132363023161695,0.2790899868621123,0.2461631445891409,0.6261603375527426,477,3,80,156,6,95,106,3,259
