modelo,mae_home,mae_away,mae_promedio,rmse_home,rmse_away,rmse_promedio,r2_home,r2_away,r2_promedio,accuracy_resultado,confusion_HH,confusion_HD,confusion_HA,confusion_DH,confusion_DD,confusion_DA,confusion_AH,confusion_AD,confusion_AA
Regresion Lineal,1.0510856936245538,0.8860246539541703,0.9685551737893621,1.3923951893225728,1.2216964249195827,1.3070458071210778,0.2865424168059115,0.2765155465527165,0.281528981679314,0.6270042194092827,480,0,80,151,2,107,104,0,261
Ridge,1.0510878398807804,0.8860252483161648,0.9685565440984726,1.3924173769369697,1.2217332540690315,1.3070753155030006,0.28651967893955077,0.2764719257020042,0.2814958023207775,0.6261603375527426,480,0,80,151,1,108,104,0,261
Poisson,1.0587862082873682,0.8811044875327833,0.9699453479100757,1.3929270568339607,1.2064233682233088,1.2996752125286348,0.2859972592440041,0.294491778799288,0.29024451902164605,0.6270042194092827,484,0,76,159,1,100,107,0,258
Random Forest,1.0706537258127582,0.885759307993008,0.9782065169028831,1.4051844636209625,1.2140310849046294,1.3096077742627958,0.2733758819641622,0.28556584127642626,0.2794708616202942,0.6261603375527426,481,0,79,162,1,97,105,0,260
Gradient Boosting,1.0886652723584853,0.8846859896670429,0.9866756310127641,1.454525009965403,1.2205678203219936,1.3375464151436982,0.22145177950105854,0.2778516407068583,0.24965171010395842,0.6236286919831223,477,3,80,157,6,97,106,3,256
